Stock,Month,Actual_Closing_Price,Predicted_Closing_Price
HDFCBANK.NS,2024-11,1796.050048828125,1773.5850219726562
HDFCBANK.NS,2024-12,1855.8499755859375,1847.3014819335938
ICICIBANK.NS,2024-01,1028.1500244140625,1072.659008178711
ICICIBANK.NS,2024-02,1052.199951171875,985.0035021972657
ICICIBANK.NS,2024-03,1093.300048828125,1085.9835278320313
ICICIBANK.NS,2024-04,1150.4000244140625,1118.187509765625
ICICIBANK.NS,2024-05,1121.050048828125,1129.8240295410155
ICICIBANK.NS,2024-06,1199.5999755859375,1215.2407775878905
ICICIBANK.NS,2024-07,1214.9000244140625,1224.0575146484375
ICICIBANK.NS,2024-08,1229.199951171875,1225.4269812011719
ICICIBANK.NS,2024-09,1273.0,1251.572003173828
ICICIBANK.NS,2024-10,1292.25,1281.5230053710939
ICICIBANK.NS,2024-11,1300.0999755859375,1298.1194848632813
ICICIBANK.NS,2024-12,1328.75,1260.9575036621093
HINDUNILVR.NS,2024-01,2481.550048828125,2629.4790502929686
HINDUNILVR.NS,2024-02,2412.300048828125,2460.57453125
HINDUNILVR.NS,2024-03,2264.35009765625,2296.641591796875
HINDUNILVR.NS,2024-04,2230.449951171875,2495.1515454101564
HINDUNILVR.NS,2024-05,2329.050048828125,2280.537019042969
HINDUNILVR.NS,2024-06,2473.050048828125,2527.8624609375
HINDUNILVR.NS,2024-07,2705.64990234375,2597.6829638671875
HINDUNILVR.NS,2024-08,2778.0,2813.917998046875
HINDUNILVR.NS,2024-09,2958.300048828125,3005.002529296875
HINDUNILVR.NS,2024-10,2528.25,2628.036511230469
HINDUNILVR.NS,2024-11,2496.14990234375,2689.001970214844
HINDUNILVR.NS,2024-12,2483.800048828125,2503.741025390625
SBIN.NS,2024-01,640.5,606.6795098876953
SBIN.NS,2024-02,748.0999755859375,683.6479809570312
SBIN.NS,2024-03,752.3499755859375,769.3844848632813
SBIN.NS,2024-04,826.25,797.2124938964844
SBIN.NS,2024-05,830.3499755859375,844.9275134277344
SBIN.NS,2024-06,848.9500122070312,872.4885083007813
SBIN.NS,2024-07,872.4000244140625,819.2040069580078
SBIN.NS,2024-08,815.5999755859375,838.7639916992188
SBIN.NS,2024-09,787.9000244140625,802.7935205078124
SBIN.NS,2024-10,820.2000122070312,817.1895086669922
SBIN.NS,2024-11,838.9500122070312,827.0380139160156
SBIN.NS,2024-12,863.6500244140625,845.0715197753906
BHARTIARTL.NS,2024-01,1170.699951171875,1109.4324755859375
BHARTIARTL.NS,2024-02,1123.3499755859375,1137.746181640625
BHARTIARTL.NS,2024-03,1228.5999755859375,1121.5233117675782
BHARTIARTL.NS,2024-04,1322.300048828125,1302.0365319824218
BHARTIARTL.NS,2024-05,1372.75,1364.4156799316406
BHARTIARTL.NS,2024-06,1444.050048828125,1461.3450170898439
BHARTIARTL.NS,2024-07,1491.550048828125,1485.381534423828
BHARTIARTL.NS,2024-08,1589.050048828125,1574.9922814941406
BHARTIARTL.NS,2024-09,1709.550048828125,1656.5782897949218
BHARTIARTL.NS,2024-10,1612.5999755859375,1618.8639880371093
BHARTIARTL.NS,2024-11,1627.1500244140625,1608.8805200195313
BHARTIARTL.NS,2024-12,1597.8499755859375,1547.33048828125
ASIANPAINT.NS,2024-01,2957.85009765625,3558.6065283203125
ASIANPAINT.NS,2024-02,2821.89990234375,2846.622932128906
ASIANPAINT.NS,2024-03,2846.75,2860.0000268554686
ASIANPAINT.NS,2024-04,2875.89990234375,2871.99994140625
ASIANPAINT.NS,2024-05,2881.199951171875,2853.5759545898436
ASIANPAINT.NS,2024-06,2917.050048828125,2914.6485180664063
ASIANPAINT.NS,2024-07,3084.449951171875,3081.78048828125
ASIANPAINT.NS,2024-08,3126.800048828125,3084.1555297851564
ASIANPAINT.NS,2024-09,3329.10009765625,3226.49806640625
ASIANPAINT.NS,2024-10,2935.64990234375,2989.0354248046874
ASIANPAINT.NS,2024-11,2479.60009765625,2586.9975512695314
ASIANPAINT.NS,2024-12,2429.699951171875,2503.741025390625
WIPRO.NS,2024-01,239.0749969482422,241.35324630737304
WIPRO.NS,2024-02,259.29998779296875,257.6492399597168
WIPRO.NS,2024-03,240.0500030517578,242.57750198364258
WIPRO.NS,2024-04,231.1999969482422,235.27949768066406
WIPRO.NS,2024-05,219.10000610351562,222.1124055480957
WIPRO.NS,2024-06,257.42498779296875,253.61873992919922
WIPRO.NS,2024-07,261.0,262.035500793457
WIPRO.NS,2024-08,269.20001220703125,268.32811126708987
WIPRO.NS,2024-09,270.7250061035156,269.95800537109375
WIPRO.NS,2024-10,275.8999938964844,280.8064956665039
WIPRO.NS,2024-11,288.92498779296875,288.27148864746096
WIPRO.NS,2024-12,297.3500061035156,295.6637551879883
LT.NS,2024-01,3479.75,3760.862414550781
LT.NS,2024-02,3477.550048828125,3537.8570336914063
LT.NS,2024-03,3763.89990234375,3709.7149365234377
LT.NS,2024-04,3594.300048828125,3705.8520361328124
LT.NS,2024-05,3669.300048828125,3647.5530102539065
LT.NS,2024-06,3548.449951171875,3642.1384619140626
LT.NS,2024-07,3815.0,3835.9284594726564
LT.NS,2024-08,3704.64990234375,3686.425927734375
LT.NS,2024-09,3675.550048828125,3691.5265234375
LT.NS,2024-10,3622.300048828125,3568.08404296875
LT.NS,2024-11,3724.800048828125,3663.370041503906
LT.NS,2024-12,3866.699951171875,3795.6879760742186
KOTAKBANK.NS,2024-01,1825.25,1873.2724938964843
KOTAKBANK.NS,2024-02,1689.449951171875,1745.0324633789062
KOTAKBANK.NS,2024-03,1785.5,1744.0984887695313
KOTAKBANK.NS,2024-04,1623.949951171875,1711.4394604492188
KOTAKBANK.NS,2024-05,1680.4000244140625,1619.8807678222656
KOTAKBANK.NS,2024-06,1802.5,1743.8609741210937
KOTAKBANK.NS,2024-07,1807.9000244140625,1809.2705078125
KOTAKBANK.NS,2024-08,1780.800048828125,1824.8644970703126
KOTAKBANK.NS,2024-09,1853.949951171875,1845.4734765625
KOTAKBANK.NS,2024-10,1731.0999755859375,1735.6635290527345
KOTAKBANK.NS,2024-11,1765.25,1764.0425048828124
KOTAKBANK.NS,2024-12,1776.949951171875,1737.3569580078124
AXISBANK.NS,2024-01,1067.75,1067.4429956054687
AXISBANK.NS,2024-02,1075.0999755859375,1071.9769946289061
AXISBANK.NS,2024-03,1047.199951171875,1070.1374780273438
AXISBANK.NS,2024-04,1165.9000244140625,1139.7845196533203
AXISBANK.NS,2024-05,1162.1500244140625,1153.0069152832032
AXISBANK.NS,2024-06,1265.25,1257.0833020019531
AXISBANK.NS,2024-07,1166.0999755859375,1194.375186767578
AXISBANK.NS,2024-08,1175.25,1181.111298828125
AXISBANK.NS,2024-09,1232.199951171875,1224.5734643554688
AXISBANK.NS,2024-10,1159.550048828125,1198.1780224609374
AXISBANK.NS,2024-11,1136.300048828125,1154.9473291015624
AXISBANK.NS,2024-12,1184.550048828125,1163.6845361328126
MARUTI.NS,2024-01,10186.900390625,10161.4407421875
MARUTI.NS,2024-02,11288.349609375,11086.181845703126
MARUTI.NS,2024-03,12600.349609375,11465.36353515625
MARUTI.NS,2024-04,12817.5,12595.686435546875
MARUTI.NS,2024-05,12399.2998046875,12514.93435546875
MARUTI.NS,2024-06,12033.849609375,12357.63072265625
MARUTI.NS,2024-07,13115.7998046875,12525.521474609375
MARUTI.NS,2024-08,12403.0,12424.130419921876
MARUTI.NS,2024-09,13238.0,12862.711435546875
MARUTI.NS,2024-10,11076.4501953125,12500.58392578125
MARUTI.NS,2024-11,11074.2001953125,11184.7876953125
MARUTI.NS,2024-12,11317.9501953125,11361.80716796875
SUNPHARMA.NS,2024-01,1418.449951171875,1273.1590014648436
SUNPHARMA.NS,2024-02,1577.949951171875,1535.517979736328
SUNPHARMA.NS,2024-03,1620.550048828125,1573.747529296875
SUNPHARMA.NS,2024-04,1502.0999755859375,1545.9769885253907
SUNPHARMA.NS,2024-05,1459.800048828125,1476.0865344238282
SUNPHARMA.NS,2024-06,1520.8499755859375,1505.5289978027345
SUNPHARMA.NS,2024-07,1719.3499755859375,1546.4100170898437
SUNPHARMA.NS,2024-08,1821.6500244140625,1790.1930090332032
SUNPHARMA.NS,2024-09,1926.699951171875,1870.108475341797
SUNPHARMA.NS,2024-10,1848.9000244140625,1824.9130151367187
SUNPHARMA.NS,2024-11,1780.9000244140625,1832.8235168457031
SUNPHARMA.NS,2024-12,1804.8499755859375,1822.1824853515625
NTPC.NS,2024-01,317.5,343.08499938964843
NTPC.NS,2024-02,335.6000061035156,326.0470053100586
NTPC.NS,2024-03,335.79998779296875,347.1809976196289
NTPC.NS,2024-04,363.20001220703125,354.86900604248046
NTPC.NS,2024-05,359.0,376.1665020751953
NTPC.NS,2024-06,378.3500061035156,384.6840057373047
NTPC.NS,2024-07,416.0,401.86450042724607
NTPC.NS,2024-08,416.20001220703125,450.67050872802736
NTPC.NS,2024-09,443.20001220703125,423.5640084838867
NTPC.NS,2024-10,408.1499938964844,418.2064984130859
NTPC.NS,2024-11,363.6499938964844,391.2195004272461
NTPC.NS,2024-12,369.5,363.17949951171875
ADANIGREEN.NS,2024-01,1669.449951171875,1565.9160375976562
ADANIGREEN.NS,2024-02,1895.050048828125,1796.2280432128907
ADANIGREEN.NS,2024-03,1835.1500244140625,1867.937010498047
ADANIGREEN.NS,2024-04,1797.6500244140625,1799.9535131835937
ADANIGREEN.NS,2024-05,1908.3499755859375,1840.6309704589844
ADANIGREEN.NS,2024-06,1788.800048828125,1953.369521484375
ADANIGREEN.NS,2024-07,1847.199951171875,1840.5639916992188
ADANIGREEN.NS,2024-08,1838.1500244140625,1864.3074975585937
ADANIGREEN.NS,2024-09,1902.699951171875,1910.514462890625
ADANIGREEN.NS,2024-10,1598.300048828125,1691.4970336914062
ADANIGREEN.NS,2024-11,1323.9000244140625,1398.6585180664063
ADANIGREEN.NS,2024-12,1210.6500244140625,1261.4420056152344
TECHM.NS,2024-01,1333.6500244140625,1360.184259033203
TECHM.NS,2024-02,1273.8499755859375,1354.4792260742188
TECHM.NS,2024-03,1248.0999755859375,1285.3028369140625
TECHM.NS,2024-04,1263.5,1264.4231982421875
TECHM.NS,2024-05,1228.449951171875,1338.777412109375
TECHM.NS,2024-06,1430.3499755859375,1250.7071899414063
TECHM.NS,2024-07,1554.4000244140625,1559.710478515625
TECHM.NS,2024-08,1636.5,1625.6565075683593
TECHM.NS,2024-09,1577.199951171875,1604.927967529297
TECHM.NS,2024-10,1608.6500244140625,1588.232508544922
TECHM.NS,2024-11,1712.300048828125,1659.4860400390626
TECHM.NS,2024-12,1782.800048828125,1773.8054760742189
HINDZINC.NS,2024-01,317.25,321.3230038452148
HINDZINC.NS,2024-02,306.45001220703125,313.05200836181643
